Rowid,ID,Codebase,Operator,Rule,File,Line,Function,Code context,Bigfile?,Flag,Compile,Format of PoC,Oracle,Github fixed version,CVE
57,47,Sqlite,\+,int literal * int variable,sqlite3.c,95342,sqlite3VdbeExec,"  if( sqlite3VdbeMemGrow(pOut, (int)nByte+2, pOut==pIn2) ){",0,5,"./configure --enable-debug --enable-fts5 \
 ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow \
  -DSQLITE_MAX_SQL_LENGTH=2147483647 \
  -DSQLITE_MAX_LENGTH=2147483647"" \
&& make",SQL,sqlite3.c:95342:7: runtime error: signed integer overflow: 2147483646 + 2 cannot be represented in type 'int,https://github.com/sqlite/sqlite/commit/ffbfc27fab6b27123e83922413cd7102bbc77917,-
58,48,Sqlite,\--,int variable --,shell.c,29509,do_meta_command,nSkip--,0,5,./configure --enable-debug "CFLAGS=-O0 -g -fsanitize=signed-integer-overflow",SQL,shell.c:29466:18: runtime error: signed integer overflow: -9223372036854775808 - 1 cannot be represented in type 'int64',https://github.com/sqlite/sqlite/commit/cb36dc3f3e4f5c72aea074e98b1bd87381bf80fa,-
59,49,libxml2,\+=,int variable+= int literal,HTMLparser.c,2620,htmlParseData,col += 1,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:2620:17: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/997,-
60,50,libxml2,\+=,int variable+= int literal,HTMLparser.c,2720,htmlParseData,line += 1;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,"parsing 2147483681 bytes ...
HTMLparser.c:2720:22: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int'
parse done, freeing",https://gitlab.gnome.org/GNOME/libxml2/-/issues/997,-
61,51,libxml2,\+=,int variable+= int literal,HTMLparser.c,3040,htmlParseCharData,col += 1;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:3040:25: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1005,CVE-todo
62,52,libxml2,\+=,int variable+= int literal,HTMLparser.c,3053,htmlParseCharData,col += 1;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:3053:17: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1005,CVE-todo
63,53,libxml2,\+=,int variable+= int literal,HTMLparser.c,3259,htmlParseCharData,line += 1;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:3259:22: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1005,-
64,54,libxml2,\++,int variable ++,HTMLparser.c,457,htmlSkipBlankChars,line++;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:457:17: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1006,-
65,57,libxml2,\++,int variable ++,HTMLparser.c,460,htmlSkipBlankChars,col++;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:460:16: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1006,-
66,58,libxml2,\+=,int variable+= int literal,HTMLparser.c,3483,htmlSkipBogusDoctype,col += 1;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:3483:13: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1007,-
67,59,libxml2,\+=,int variable+= int literal,HTMLparser.c,3490,htmlSkipBogusDoctype,line += 1;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,HTMLparser.c:3490:18: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1007,-
68,60,libxml2,\+=,int variable+= int literal,parser.c,4574,xmlParseCharDataInternal,ccol++;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,parser.c:4574:17: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1008,-
69,61,libxml2,\++,int variable ++,parser.c,4551,xmlParseCharDataInternal,ctxt->input->line++;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,"parser.c:4551:34: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int'
",https://gitlab.gnome.org/GNOME/libxml2/-/issues/1008,-
70,62,libxml2,\++,int variable ++,parser.c,4548,xmlParseCharDataInternal,ctxt->input->col++;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",Python & C,parser.c:4548:53: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1008,-
71,63,libxml2,\+=,int variable+= int literal,xmlwriter.c,4332,xmlTextWriterWriteFormatAttributeNS,size += BUFSIZ;,1,3,"./autogen.sh && ./configure ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow"" && make && make install
gcc -g -fsanitize=address poc.c -o poc \
  -I/usr/local/include/libxml2 \
  -L/usr/local/lib \
  -lxml2 \
  -Wl,-rpath=/usr/local/lib \
  -Wl,-rpath=/lib/x86_64-linux-gnu",C,xmlwriter.c:4332:14: runtime error: signed integer overflow: 2147475456 + 8192 cannot be represented in type 'int',https://gitlab.gnome.org/GNOME/libxml2/-/issues/1002,-
72,64,libplist,\++,int variable ++,base64.c,111,base64decode,                                outbuf[p++] = (unsigned char)(((w3 << 6) + w4) & 0xFF);,1,3,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python & C,"AddressSanitizer:DEADLYSIGNAL
=================================================================
==3344503==ERROR: AddressSanitizer: SEGV on unknown address 0x7f82e27a4800 (pc 0x563a569429f8 bp 0x7ffc3d004480 sp 0x7ffc3d0043b0 T0)
==3344503==The signal is caused by a WRITE memory access.
    #0 0x563a569429f8 in base64decode /data/xxx/Projects/libplist/src/base64.c:111
    #1 0x563a56941af7 in main (/data/xxx/Projects/libplist/plist_base64_only+0x2af7)
    #2 0x7f853b3f6d8f in __libc_start_call_main ../sysdeps/nptl/libc_start_call_main.h:58
    #3 0x7f853b3f6e3f in __libc_start_main_impl ../csu/libc-start.c:392
    #4 0x563a56941464 in _start (/data/xxx/Projects/libplist/plist_base64_only+0x2464)

AddressSanitizer can not provide additional info.
SUMMARY: AddressSanitizer: SEGV /data/xxx/Projects/libplist/src/base64.c:111 in base64decode
==3344503==ABORTING",https://github.com/libimobiledevice/libplist/issues/279,CVE-2025-?????
73,65,libplist,\++,int variable ++,bplist.c,1132,plist_utf8_to_utf16be,                        outbuf[p++] = be16toh(((c2 & 0x3F) + ((c1 & 3) << 6)) + (((c1 >> 2) & 15) << 8) + ((c0 & 15) << 12)),1,3,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python & C,AddressSanitizer:DEADLYSIGNAL,https://github.com/libimobiledevice/libplist/issues/279,CVE-2025-?????
74,66,libplist,\++,int variable ++,bplist.c,410,plist_utf16be_to_utf8,                                outbuf[p++] = (char)(0x80 + (w & 0x3F));,1,3,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",-,AddressSanitizer:DEADLYSIGNAL,https://github.com/libimobiledevice/libplist/issues/279,CVE-2025-?????
75,67,libplist,\++,int variable ++,oplist.c,767,node_from_openstep,num_escapes++;,1,3,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python & C,"./parse_ascii_plist /data/xxx/Projects/libplist/test++/3.plist
oplist.c:767:32: runtime error: signed integer overflow: 2147483647 + 1 cannot be represented in type 'int'",https://github.com/libimobiledevice/libplist/issues/280,CVE-2025-?????
76,68,libplist,NA,NA,plistutil.c,281,main,"int read_size = 0;
read_size = fread(plist_entire, sizeof(char), filestats.st_size, iplist);",1,5,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python,"AddressSanitizer:DEADLYSIGNAL
=================================================================
==2449591==ERROR: AddressSanitizer: SEGV on unknown address 0x7efe0e7fe800 (pc 0x5565f1377033 bp 0x7ffce2f8b3d0 sp 0x7ffce2f8b1c0 T0)
==2449591==The signal is caused by a WRITE memory access.
    #0 0x5565f1377033 in main /data/xxx/Projects/libplist/tools/plistutil.c:282
    #1 0x7eff11dd5d8f in __libc_start_call_main ../sysdeps/nptl/libc_start_call_main.h:58
    #2 0x7eff11dd5e3f in __libc_start_main_impl ../csu/libc-start.c:392
    #3 0x5565f13756a4 in _start (/data/xxx/Projects/libplist/tools/.libs/plistutil+0x36a4)

AddressSanitizer can not provide additional info.
SUMMARY: AddressSanitizer: SEGV /data/xxx/Projects/libplist/tools/plistutil.c:282 in main
==2449591==ABORTING",https://github.com/libimobiledevice/libplist/issues/278,CVE-2025-?????
77,69,libplist,\+=,int variable += int literal,plistutil.c,232,main,               read_capacity += 4096;,1,3,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python,"Breakpoint 1, main (argc=1, argv=0x7fffffffe038) at plistutil.c:232
232                     read_capacity += 4096;
(gdb) n
plistutil.c:232:31: runtime error: signed integer overflow: 2147479552 + 4096 cannot be represented in type 'int'
233                     plist_entire = realloc(plist_entire, sizeof(char) * read_capacity);",https://github.com/libimobiledevice/libplist/issues/278,CVE-2025-?????
78,70,libplist,NA,NA,xplist.c,1069,node_from_xml,int taglen = ctx->pos - p;,1,3,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python & C,"./poc /data/xxx/Projects/libplist/test++/5.plist
=================================================================
==1042487==ERROR: AddressSanitizer: requested allocation size 0xffffffff80000005 (0xffffffff80001008 after adjustments for alignment, red zones etc.) exceeds maximum supported size of 0x10000000000 (thread T0)
    #0 0x7ff5a4768887 in __interceptor_malloc ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:145
    #1 0x7ff5a465f242 in node_from_xml /data/xxx/Projects/libplist/src/xplist.c:1070
    #2 0x7ff5a4662acf in plist_from_xml /data/xxx/Projects/libplist/src/xplist.c:1486
    #3 0x7ff5a4685e3d in plist_from_memory /data/xxx/Projects/libplist/src/plist.c:290
    #4 0x555e4414c812 in main /data/xxx/Projects/libplist/poc.c:37
    #5 0x7ff5a3e05d8f in __libc_start_call_main ../sysdeps/nptl/libc_start_call_main.h:58

==1042487==HINT: if you don't care about these errors you may set allocator_may_return_null=1
SUMMARY: AddressSanitizer: allocation-size-too-big ../../../../src/libsanitizer/asan/asan_malloc_linux.cpp:145 in __interceptor_malloc
==1042487==ABORTING",https://github.com/libimobiledevice/libplist/issues/281,CVE-2025-?????
79,71,libplist,NA,NA,jplist.c,749,parse_object,"char* key = unescape_string(js + ti->tokens[j].start, ti->tokens[j].end - ti->tokens[j].start, NULL);",1,5,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python & C,"AddressSanitizer: heap-buffer-overflow ...
READ of size 1 ...
0x7fa4606fb81c is located 0 bytes to the right of 2147483676-byte region ...
SUMMARY: AddressSanitizer: heap-buffer-overflow in unescape_string",https://github.com/libimobiledevice/libplist/issues/282,CVE-todo
80,72,libplist,\+=,int variable+= int literal,jplist.c,820,plist_from_json,maxtoks+=16;,1,3,"./configure --prefix=/home/xxx/lib ""CFLAGS=-O0 -g -fsanitize=signed-integer-overflow,address"" && make && make install",Python & C,"820                 maxtoks+=16;
(gdb) n
jplist.c:820:20: runtime error: signed integer overflow: 2147483632 + 16 cannot be represented in type 'int'
821                 continue;",https://github.com/libimobiledevice/libplist/issues/282,CVE-todo
81,73,v8,NA,NA,d8.cc,5228,Shell::ReadFile,int size = static_cast<int>(file->size());,1,5,default,Python,"\==== C stack trace ===============================
/home/xxx/CProjects/v8/out.gn/x64.debug/libv8_libbase.so(_ZN2v84base5debug10StackTraceC1Ev+0x1e)[0x7f064a89fd5e]
/home/xxx/CProjects/v8/out.gn/x64.debug/libv8_libbase.so(+0x77cb3)[0x7f064a89fcb3]
/lib/x86_64-linux-gnu/libc.so.6(+0x42520)[0x7f064a016520]
/lib/x86_64-linux-gnu/libc.so.6(+0x1b21f0)[0x7f064a1861f0]
/home/xxx/CProjects/v8/out.gn/x64.debug/libv8.so(+0x8d397f5)[0x7f06535eb7f5]
/home/xxx/CProjects/v8/out.gn/x64.debug/libv8.so(_ZN2v86String11NewFromUtf8EPNS_7IsolateEPKcNS_13NewStringTypeEi+0x13d)[0x7f06535eb6ed]
./d8(_ZN2v85Shell8ReadFileEPNS_7IsolateEPKcb+0x11f)[0x5633da27626f]
./d8(_ZN2v811SourceGroup7ExecuteEPNS_7IsolateE+0x360)[0x5633da28fca0]
./d8(_ZN2v85Shell14RunMainIsolateEPNS_7IsolateEb+0x21c)[0x5633da294cdc]
./d8(_ZN2v85Shell7RunMainEPNS_7IsolateEb+0xb7)[0x5633da294837]
./d8(_ZN2v85Shell4MainEiPPc+0xf35)[0x5633da296385]
./d8(main+0x22)[0x5633da296942]
/lib/x86_64-linux-gnu/libc.so.6(+0x29d90)[0x7f0649ffdd90]
/lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x80)[0x7f0649ffde40]
./d8(_start+0x2a)[0x5633da23afea]
[end of stack trace]
Segmentation fault (core dumped)",https://github.com/v8/v8/commit/490abeb40936273f345d7fbbafa5f8c0ca007623,-
